# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Simon.png	116	116	116
20	textures\misc.png	176	224	248
30	textures\texture-map-1.png 	255	255	255
31	textures\hit-effect.png	255	0	255
40	textures\holder.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP1
#lv1
51001	1589	485	1597	509	10
51002	1572	482	1588	501	10
51003	1547	485	1571	493	10
#lv2
51011	1529	485	1537	509	10
51012	1477	482	1493	501	10
51013	1418	487	1442	493	10
#lv3
51021	1529	485	1537	509	10
51022	1477	482	1493	501	10
51023	1336	487	1376	493	10

#mapID	filematrix map
[MAPMATRIX]

#MAP1
1	matrix-map-1.txt

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]


# ==== SIMON =========
#idle right
400	11001	100
#idle left
401	10001	100

#walking right
500	11001	100	11002	100	11003	100
#walking left
501	10001	100	10002	100	10003	100

#jump/duck right
510	11010	100
#jump/duck left
511	10010	100

#standing whip/use weapon right
520	11041	100	11042	100	11043	100
#standing whip/use weapon left
521	10041	100	10042	100	10043	100
#ducking whip/use weapon right
530	11051	100	11052	100	11053	100
#ducking whip/use weapon left
531	10051	100	10052	100	10053	100




# ==== BRICK =========
601	20001	100


# ==== FIREPOT  =========
801	50001	100	50002	100
#break
303	30011	100

# ==== WEAPON =========
#whip
#left
701	50001	200	50002	200	50003	200
702	50011	200	50012	200	50013	200
703	50021	200	50022	200	50023	200
#right
711	51001	200	51002	200	51003	200
712	51011	200	51012	200	51013	200
713	51021	200	51022	200	51023	200

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# SIMON
1	400	401	500	501	510	511	520	521	530	531
# BRICK 
2	601
#WEAPON
11	701	702	703	711	712	713
# FIREPOT
4	801	303

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = FirePot
# SIMON
0	50.0	0	1

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
1	0	150	2
1	16	150	2
1	32	150	2
1	48	150	2
1	64	150	2
1	80	150	2
1	96	150	2
1	112	150	2
1	128	150	2
1	144	150	2
1	160	150	2
1	176	150	2
1	192	150	2
1	208	150	2
1	224	150	2
1	240	150	2
1	256	150	2
1	272	150	2
1	288	150	2
1	304	150	2
1	320	150	2
1	336	150	2
1	352	150	2
1	368	150	2
1	384	150	2
1	400	150	2
1	416	150	2
1	432	150	2
1	448	150	2

# ---- fire pot ----
3	178	24	4
3	434	224	4
3	690	224	4
3	946	224	4
3	1202	224	4

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
# 50	300	98	0	316	150	2

