# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	..\Resources\Texture\simon.png	255	0	255
1	..\Resources\Texture\simon-death.png	255	0	255
20	..\Resources\Texture\floor_2.png	255	255	255
21	..\Resources\Texture\small_brick.png	255	255	255
30	..\Resources\Texture\holder.png	255	0	255
40	..\Resources\Texture\item.png	255	0	255
50	..\Resources\Texture\whip.png	255	0	255
51	..\Resources\Texture\dagger.png	255	0	255
52	..\Resources\Texture\holy_water.png	255	0	255
70	..\Resources\Texture\burn.png	255	0	255
71	..\Resources\Texture\effect400.png	255	0	255
72	..\Resources\Texture\effect700.png	255	0	255
73	..\Resources\Texture\effect1000.png	255	0	255
74	..\Resources\Texture\hit-effect.png	255	0	255
75	..\Resources\Texture\broken_brick.png	255	0	255
76	..\Resources\Texture\steam.png	255	0	255
80	..\Resources\Texture\font.png	255	0	255
81	..\Resources\Texture\heal.png	0	0	0
90	..\Resources\Texture\door.png	255	0	255
300	..\Resources\Texture\texture-map-3.png	255	255	255
85	..\Resources\Texture\board.png	255	0	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#MAP3
10038	240	132	300	198	0

# right
# idle
11001	900	0	960	66	0
# walk
11002	840	0	900	66	0
11003	780	0	840	66	0
#jump/duck
11004	660	0	720	66	0
#hurt
11005	0	66	60	132	0
#death
11006	64	0	128	68	1
#stair
#up
11011	840	0	900	66	0
11012	660	66	720	132	0
#down
11016	840	0	900	66	0
11017	780	66	840	132	0
#whip/use subweapon
#standing
11021	600	0	660	66	0
11022	539	0	599	66	0
11023	480	0	540	66	0
#ducking
11026	480	66	540	132	0
11027	901	132	961	198	0
11028	839	132	899	198	0
#uping
11031	600	132	660	198	0
11032	540	132	600	198	0
11033	480	132	540	198	0
#downing
11036	780	132	840	198	0
11037	720	132	780	198	0
11038	660	132	720	198	0

#FLOOR
20001	0	0	33	29	20

#SMALL BRICK
20002	0	0	16	16	21

#HOLDERS
#CANDLES
30006	64	0	80	32	30
30007	80	0	96	32	30
#effect
30011	0	0	16	20	74
30012	43	0	85	44	70

#ITEM
#small heart
40001	0	0	16	16	40
#big heart
40002	16	0	40	20	40
#money bag
#red
40006	40	0	70	30	40
#white
40007	70	0	100	30	40
#blue
40008	100	0	130	30	40
#whip 
40011	130	0	162	32	40
#Stop watch
40012	194	0	224	32	40
#dagger
40016	162	0	194	18	40
#Cross
40018	224	0	256	32	40
#Holy water item
40019	30	32	62	64	40

#WEAPON
#whip
#left
#lv1
50001	0	0	160	68	50
50002	160	0	320	68	50
50003	320	0	480	68	50
#lv2
50006	0	68	160	136	50
50007	160	68	320	136	50
50008	320	68	480	136	50
#lv3
50011	0	136	160	204	50
50012	160	136	320	204	50
50013	320	136	480	204	50
#right
#lv1
51001	1120	0	1280	68	50
51002	960	0	1120	68	50
51003	800	0	960	68	50
#lv2
51006	1120	68	1280	136	50
51007	960	68	1120	136	50
51008	800	68	960	136	50
#lv3
51011	1120	136	1280	204	50
51012	960	136	1120	204	50
51013	800	136	960	204	50
#dagger
#left
50016	0	0	32	18	51
#right
51016	32	0	64	18	51

#Holy water
#Holy water throw
#Left
50017	8	4	24	20	52
#Right
51017	136	4	152	20	52
#Using effect
50018	45	0	51	26	52
50019	74	2	86	26	52
50020	96	0	128	26	52

#Effect
#Burn
70000	18	10	24	36	70
70001	58	12	70	36	70
70002	98	6	114	36	70

#400 effect
70010	0	1	29	17	71

#700 effect
70020	1	1	29	17	72

#1000 effect
70030	0	1	37	17	73

#hit effect
70040	0	0	16	20	74

#broken_brick
70050	0	0	36	23	75

#steam
70060	0	0	14	28	76

#Board element
#Character
#A
80000	1	1	14	14	80
#B
80001	16	1	29	14	80
#C
80002	31	1	44	14	80
#D
80003	46	1	59	14	80
#E
80004	63	1	74	14	80
#F
80005	76	1	89	14	80
#G
80006	91	1	104	14	80
#H
80007	106	1	119	14	80
#I
80008	123	1	134	14	80
#J
80009	136	1	149	14	80
#K
80010	151	1	164	14	80
#L
80011	168	1	179	14	80
#M
80012	181	1	194	14	80
#N
80013	1	15	14	28	80
#O
80014	16	15	29	28	80
#P
80015	31	15	44	28	80
#Q
80016	46	15	59	28	80
#R
80017	63	15	74	28	80
#S
80018	76	15	89	28	80
#T
80019	91	15	104	28	80
#U
80020	106	15	119	28	80
#V
80021	123	15	134	28	80
#W
80022	136	15	149	28	80
#X
80023	151	15	164	28	80
#Y
80024	168	15	179	28	80
#Z
80025	181	15	194	28	80

#0
80026	1	29	14	42	80
#1
80027	18	29	29	42	80
#2
80028	31	29	44	42	80
#3
80029	46	29	59	42	80
#4
80030	61	29	74	42	80
#5
80031	76	29	89	42	80
#6
80032	91	29	104	42	80
#7
80033	106	29	119	42	80
#8
80034	121	29	134	42	80
#9
80035	136	29	149	42	80
#-
80036	153	34	162	36	80

#Health
#Red
80037	0	0	10	17	81

#Orange
80038	22	0	32	17	81
80039	11	0	21	17	81
#board
100000	0	0	520	80	85
#mapID	filematrix map
[MAPMATRIX]
#MAP3
3	..\Resources\Text\matrix-map-3.txt

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== SIMON =========
#idle left
101	10001	100
#idle right
102	11001	100

#walk left
103	10001	100	10002	100	10003	100
#walk right
104	11001	100	11002	100	11003	100

#jump/duck left
105	10004	100
#jump/duck right
106	11004	100

#hurt left
107	10005	100
#hurt right
108	11005	100

#death left
109	10006	100
#death right
110	11006	100

#stair up left
111	10011	100	10012	100
#stair up right
112	11011	100	11012	100

#stair down left
113	10016	100	10017	100
#stair down right
114	11016	100	11017	100

#attack
#standing left
115	10021	100	10022	120	10023	130
#standing right
116	11021	100	11022	120	11023	130
#ducking left
117	10026	100	10027	120	10028	130
#ducking right
118	11026	100	11027	120	11028	130
#uping left
119	10031	100	10032	100	10033	100
#uping right
120	11031	100	11032	100	11033	100
#downing left
121	10036	100	10037	100	10038	100
#downing right
122	11036	100	11037	100	11038	100

#idle stair up left
123	10012	100
#idle stair up right
124	11012	100
#idle stair down left
125	10017	100
#idle stair down right
126	11017	100


# ==== FLOOR =========
201	20001	100

# ==== SMALL BRICK ====
202	20002	100

# ==== HOLDER =========
#candle
302	30006	100	30007	100
#break
303	30011	100	30012	100

# ==== ITEMS=========
#small heart
401	40001	100
#big heart
402	40002	100
#money bag
#red
406	40006	100
#white
407	40007	100
#blue
408	40008	100
#whip
411	40011	100
#Stop watch
412	40012	100
#dagger
416	40016	100
#Cross
417	40018	100
#Holy water
418	40019	100

# ==== WEAPON =========
#whip
#left
501	50001	100	50002	120	50003	130
502	50006	100	50007	120	50008	130
503	50011	100	50012	120	50013	130
#right
511	51001	100	51002	120	51003	130
512	51006	100	51007	120	51008	130
513	51011	100	51012	120	51013	130
#dagger
#left
504	50016	100
#right
514	51016	100
#Holy water
#throw
#left
505	50017	100
#right
515	51017	100
# using
506	50018	100	50019	100	50020	100

# ==== EFFECT =========
#Burn
700	70000	100	70001	100	70002	100

#400 effect
701	70010	100
#700 effect
702	70020	100
#1000 effect
703	70030	100

#hit effect
704	70040	100

#broken_brick
705	70050	100

#steam
706	70060	100

# ==== BOARD ELEMENT =========
#Character
#A
800	80000	100

#B
801	80001	100

#C
802	80002	100

#D
803	80003	100

#E
804	80004	100

#F
805	80005	100

#G
806	80006	100

#H
807	80007	100

#I
808	80008	100

#J
809	80009	100

#K
810	80010	100

#L
811	80011	100

#M
812	80012	100

#N
813	80013	100

#O
814	80014	100

#P
815	80015	100

#Q
816	80016	100

#R
817	80017	100

#S
818	80018	100

#T
819	80019	100

#U
820	80020	100

#V
821	80021	100

#W
822	80022	100

#X
823	80023	100

#Y
824	80024	100

#Z
825	80025	100

#0
826	80026	100

#1
827	80027	100

#2
828	80028	100

#3
829	80029	100

#4
830	80030	100

#5
831	80031	100

#6
832	80032	100

#7
833	80033	100

#8
834	80034	100

#9
835	80035	100

#-
836	80036	100

#board
999	100000	100
#Health
#Red
837	80037	100
#Orange
838	80038	100
839	80039	100

# id	ani1	ani2	ani3
[ANIMATION_SETS]
# SIMON
1	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126
# FLOOR 
2	201
# HOLDER
3	301	302	303
# ITEMS
4	401	402	406	407	408	411	412	416	417	418
#WEAPON
5	501	502	503	511	512	513	504	514	505	515	506
#EFFECT
7	700	701	702	703	704	705	706
#BOARD
8	800	801	802	803	804	805	806	807	808	809	810	811	812	813	814	815	816	817	818	819	820	821	822	823	824	825	826	827	828	829	830	831	832	833	834	835	836	837	838	839
# SMALL BRICK
10	202
# BROKEN BRICK
11	201
#board
13	999

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Brick, 2 = Ghost, 3 = Firepot, 4 = Candle

# BRICK 
# --- platform (hint: I created the list using Excel!) ----
#1	0	200	2

# ---- Candle ----
4	55	156	3	3
4	183	156	3	0
4	311	156	3	0
4	439	156	3	3
4	567	156	3	6
4	695	156	3	0
4	823	156	3	0
4	983	156	3	1

#BRICK GROUPS
5	0	280	2	14
5	192	216	2	2
5	512	280	2	2
5	640	280	2	9
5	896	408	2	2
5	960	344	2	2

#SMALL BRICK GROUP
9	1008	120	10	14	1

#BROKEN_BRICK
8	928	280	11	0	-1

# SIMON
0	128	120	1

# WATER SURFACE
12	0	410	0	1024	412

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	2

[ENEMY]
0	..\Resources\Text\Enemy3.txt
